X_ref,Y_ref,Phi_ref,Kappa_ref,V_ref
225.5,-12.014160117278871,0.17525382580901186,0.023091656697129353,10.0
226.0,-11.922601184361492,0.18691094160918417,0.0227662363996803,10.0
226.5,-11.825041701129033,0.19842309904602776,0.0224224598244427,10.0
227.0,-11.721532323562045,0.20978175390421083,0.02206146228419193,10.0
227.5,-11.61212740708782,0.22097875958434082,0.021684396242679323,10.0
228.0,-11.496884973643466,0.23200637502294022,0.02129242268514311,10.0
228.5,-11.375866676449363,0.24285726994599485,0.0208867028696592,10.0
229.0,-11.249137762514819,0.2535245275483089,0.020468390540082412,10.0
229.5,-11.116767032899372,0.2640016447142427,0.020038624667787504,10.0
230.0,-10.978826800754392,0.27428252991541774,0.019598522775019955,10.0
230.5,-10.835392847171125,0.2843614989371037,0.019149174878759678,10.0
231.0,-10.686544374862686,0.29423326859802473,0.018691638080727612,10.0
231.5,-10.532363959708816,0.3038929486376854,0.018226931816345226,10.0
232.0,-10.372937500193588,0.31333603195144355,0.017756033764008805,10.0
232.5,-10.208354164767574,0.3225583833567486,0.017279876405572322,10.0
233.0,-10.038706337167223,0.3315562270741659,0.016799344219914924,10.0
233.5,-9.864089559725613,0.3403261331047636,0.016315271483755535,10.0
234.0,-9.68460247470977,0.3488650026809438,0.01582844064735318,10.0
234.5,-9.500346763721216,0.3571700529614815,0.015339581248036928,10.0
235.0,-9.311427085197481,0.36523880113391155,0.014849369320533412,10.0
235.5,-9.117951010053456,0.3730690480779862,0.014358427260771136,10.0
236.0,-8.920028955502929,0.38065886173431523,0.01386732409852618,10.0
236.5,-8.717774117101241,0.38800656031136405,0.013376576133430745,10.0
237.0,-8.511302399051717,0.39511069545282546,0.012886647889815068,10.0
237.5,-8.300732342819126,0.4019700354763966,0.012397953346682504,10.0
238.0,-8.086185054094758,0.4085835487833232,0.011910857400996334,10.0
238.5,-7.867784128158727,0.41495038752742364,0.011425677524847208,10.0
239.0,-7.645655573685886,0.4210698716213575,0.010942685579178237,10.0
239.5,-7.419927735042976,0.42694147314752584,0.010462109750078184,10.0
240.0,-7.190731213125456,0.4325648012315843,0.00998413657641934,10.0
240.5,-6.9581987847833,0.4379395874270982,0.00950891304075292,10.0
241.0,-6.722465320886213,0.4430656716518025,0.009036548698639582,10.0
241.5,-6.483667703079097,0.447942988708048,0.008567117824189126,10.0
242.0,-6.241944739279886,0.4525715554128612,0.008100661553101317,10.0
242.5,-5.997437077972416,0.45695145835721046,0.0076371900070559195,10.0
243.0,-5.750287121347675,0.46108284230805086,0.007176684385964304,10.0
243.5,-5.500638937347863,0.46496589926225107,0.006719099017419205,10.0
244.0,-5.248638170667826,0.4686008581572008,0.006264363354516526,10.0
244.5,-4.994431952769602,0.47198797523917757,0.0058123839158048364,10.0
245.0,-4.738168810966122,0.47512752508796663,0.005363046162881426,10.0
245.5,-4.479998576630748,0.47801979229346575,0.004916216312946628,10.0
246.0,-4.220072292590093,0.4806650637785273,0.0044717430853736745,10.0
246.5,-3.9585421197576185,0.4830636217607173,0.004029459382309149,10.0
247.0,-3.695561243066478,0.4852157373445957,0.003589183905116011,10.0
247.5,-3.4312837767602264,0.48712166473600205,0.0031507227092098288,10.0
248.0,-3.1658646691003707,0.48878163606911584,0.002713870700842385,10.0
248.5,-2.8994596065505074,0.4901958568376658,0.002278413080509818,10.0
249.0,-2.632224917496455,0.49136450192189074,0.0018441267377534314,10.0
249.5,-2.3643174755627268,0.49228771220329,0.0014107816032786042,10.0
250.0,-2.0958946025855543,0.49296559176052035,0.0009781419645462737,10.0
250.5,-1.827113971302953,0.4933982056403183,0.0005459677514095188,10.0
251.0,-1.558133507822765,0.4935855781989784,0.00011401579895315072,10.0
251.5,-1.2891112939292164,0.49352769201100155,-0.0003179589056539523,10.0
252.0,-1.0202054692891718,0.4932244873426996,-0.0007502019847082254,10.0
252.5,-0.7515741336190507,0.49267586219045195,-0.0011829584325102024,10.0
253.0,-0.48337524887333805,0.49188167288424745,-0.001616471371450746,10.0
253.5,-0.21576654151599595,0.49084173525906766,-0.002050980793954775,10.0
254.0,0.051094595064618886,0.489555826397889,-0.0024867222832647734,10.0
254.5,0.3170511979361512,0.48802368695125836,-0.002923925705582474,10.0
255.0,0.581946831737302,0.4862450240401847,-0.0033628138666466495,10.0
255.5,0.8456256854670272,0.48421951474969566,-0.0038036011261591758,10.0
256.0,1.1079326688872344,0.48194681022191155,-0.004246491963545126,10.0
256.5,1.3687135084791642,0.47942654035813564,-0.004691679489623937,10.0
257.0,1.6278148428933257,0.4766583191398956,-0.005139343898790666,10.0
257.5,1.8850843178335213,0.4736417505797093,-0.005589650857316429,10.0
258.0,2.1403706803158347,0.4703764353119085,-0.006042749824230814,10.0
258.5,2.3935238722435273,0.4668619778340691,-0.006498772301939031,10.0
259.0,2.6443951232397813,0.46309799440878685,-0.006957830015444574,10.0
259.5,2.89283704268012,0.4590841216343149,-0.007420013019770972,10.0
260.0,3.138703710867164,0.45482002569155533,-0.007885387736972187,10.0
260.5,3.3818507692909296,0.4503054122723535,-0.008353994925800906,10.0
261.0,3.6221355099180927,0.44554003719196394,-0.008825847588636165,10.0
261.5,3.859416963454837,0.44052371768524123,-0.009300928822968743,10.0
262.0,4.093555986527981,0.4352563443821044,-0.009779189626464534,10.0
262.5,4.324415347730071,0.429737893953827,-0.01026054666737381,10.0
263.0,4.551859812474824,0.4239684424160137,-0.010744880034760812,10.0
263.5,4.775756226609761,0.4179481790686673,-0.011232030985607095,10.0
264.0,4.995973598734158,0.4116774210468757,-0.011721799709475185,10.0
264.5,5.212383181170743,0.40515662844800965,-0.012213943134059543,10.0
265.0,5.424858549540708,0.39838641999350394,-0.012708172798452547,10.0
265.5,5.633275680892418,0.3913675891738719,-0.013204152824284499,10.0
266.0,5.8375130303349305,0.3841011208163144,-0.013701498017991446,10.0
266.5,6.0374516061287515,0.3765882080036924,-0.014199772141197968,10.0
267.0,6.232975043186803,0.36883026926252993,-0.014698486388637492,10.0
267.5,6.4239696749398,0.3608289659267,-0.015197098116100385,10.0
268.0,6.6103246035212955,0.35258621957114344,-0.01569500986327525,10.0
268.5,6.791931768228409,0.34410422939839147,-0.016191568717892613,10.0
269.0,6.9686860122158105,0.3353854894484538,-0.016686066069293303,10.0
269.5,7.140485147381138,0.3264328054906895,-0.01717773779938003,10.0
270.0,7.30723001740148,0.3172493114453313,-0.017665764958633708,10.0
270.5,7.468824558881634,0.30783848517128765,-0.018149274973359105,10.0
271.0,7.625175860575899,0.2982041634475817,-0.018627343427153206,10.0
271.5,7.776194220646596,0.2883505559675096,-0.019098996455867087,10.0
272.0,7.921793201923535,0.2782822581579653,-0.019563213789499014,10.0
272.5,8.061889685129989,0.2680042626321651,-0.020018932467640506,10.0
273.0,8.196403920042066,0.257521969081596,-0.020465051246434673,10.0
273.5,8.325259574549369,0.2468411924140885,-0.020900435704906323,10.0
274.0,8.44838378158666,0.23596816894837466,-0.021323924047646076,10.0
274.5,8.565707183907028,0.22490956048238758,-0.021734333587639,10.0
275.0,8.677163976668792,0.21367245606341434,-0.022130467879533017,10.0
275.5,8.782691947809562,0.20226437130206465,-0.022511124459068037,10.0
276.0,8.882232516182231,0.19069324509035618,-0.02287510312923365,10.0
276.5,8.975730767429297,0.17896743360567785,-0.023221214718850684,10.0
277.0,9.063135487573,0.16709570150782668,-0.023548290224000578,10.0
277.5,9.14439919430047,0.1550872102652532,-0.023855190228951495,10.0
278.0,9.219478165924375,0.14295150357827394,-0.0241408144902192,10.0
278.5,9.28833246800096,0.1306984899018849,-0.024404111556312086,10.0
279.0,9.350925977589077,0.11833842210719132,-0.0246440882871383,10.0
279.5,9.407226405134955,0.10588187435863212,-0.024859819130546478,10.0
280.0,9.457205313969204,0.0933397163230685,-0.02505045501055858,10.0
280.5,9.500838137403878,0.08072308486539582,-0.02521523168209868,10.0
281.0,9.538104193419011,0.06804335342320021,-0.025353477410838824,10.0
281.5,9.568986696929512,0.0553120992887954,-0.02546461984420288,10.0
282.0,9.593472769624789,0.04254106906035522,-0.025548191950586573,10.0
282.5,9.61155344737507,0.029742142553474467,-0.02560383691842203,10.0
283.0,9.623223685199802,0.016927295489930667,-0.02563131192401069,10.0
283.5,9.628482359795118,0.004108561301018638,-0.025630490697362805,10.0
284.0,9.62733226961886,-0.008702007602346126,-0.025601364837520863,10.0
284.5,9.619780132533128,-0.02149237873136553,-0.025544043852385803,10.0
285.0,9.605836581005946,-0.03425057822864448,-0.025458753922620214,10.0
285.5,9.585516154875037,-0.04696472902405401,-0.025345835413588244,10.0
286.0,9.558837291678367,-0.05962308808562825,-0.025205739183043745,10.0
286.5,9.52582231455749,-0.07221408242934971,-0.02503902175446057,10.0
287.0,9.486497417741333,-0.0847263435723658,-0.02484633944612403,10.0
287.5,9.440892649619578,-0.09714874013998202,-0.024628441563809493,10.0
288.0,9.38904189341623,-0.10947040836674586,-0.0243861627792767,10.0
288.5,9.33098284547555,-0.1216807802653416,-0.024120414827907742,10.0
289.0,9.26675699117392,-0.1337696092730694,-0.02383217766646423,10.0
289.5,9.19640957847283,-0.1457269932235972,-0.023522490235867125,10.0
290.0,9.119989589129467,-0.157543394530402,-0.02319244097410471,10.0
290.5,9.037549707583022,-0.1692096575070065,-0.02284315822159897,10.0
291.0,8.949146287536207,-0.18071702278734314,-0.022475800655331744,10.0
291.5,8.85483931625288,-0.19205713884604106,-0.022091547879028207,10.0
292.0,8.754692376594152,-0.20322207065275086,-0.021691591286020787,10.0
292.5,8.648772606816781,-0.21420430552656394,-0.02127712529852787,10.0
293.0,8.537150658158945,-0.22499675628495386,-0.020849339073123824,10.0
293.5,8.419900650240093,-0.23559276180709463,-0.020409408747534077,10.0
294.0,8.297100124302613,-0.24598608515284512,-0.019958490288349836,10.0
294.5,8.168829994324698,-0.256170909396265,-0.019497712984764718,10.0
295.0,8.035174496035014,-0.26614183134695735,-0.01902817361866718,10.0
295.5,7.896221133860948,-0.27589385334241817,-0.018550931327670665,10.0
296.0,7.7520606258438605,-0.2854223733017512,-0.01806700316532286,10.0
296.5,7.602786846555535,-0.2947231732345017,-0.01757736035088382,10.0
297.0,7.448496768051765,-0.3037924063987445,-0.01708292519153943,10.0
297.5,7.289290398899894,-0.3126265833007138,-0.01658456865107504,10.0
298.0,7.125270721318451,-0.3212225567232469,-0.016083108532153553,10.0
298.5,6.9565436264683544,-0.32957750596421675,-0.01557930823388224,10.0
299.0,6.7832178479359,-0.3376889204575396,-0.015073876041700853,10.0
299.5,6.6054048934493785,-0.3455545829397098,-0.014567464904390343,10.0
300.0,6.423218974871901,-0.35317255231451683,-0.014060672650911429,10.0
300.5,6.236776936514207,-0.36054114635678625,-0.013554042599317867,10.0
301.0,6.046198181812443,-0.3676589243846451,-0.013048064510566766,10.0
301.5,5.851604598416534,-0.37452467001762213,-0.012543175840645073,10.0
302.0,5.65312048173617,-0.3811373741257994,-0.012039763246757984,10.0
302.5,5.45087245699216,-0.3874962180638368,-0.011538164305386726,10.0
303.0,5.244989399821828,-0.3936005572719103,-0.011038669402765164,10.0
303.5,5.035602355488302,-0.39944990531508995,-0.010541523761524526,10.0
304.0,4.8228444567439235,-0.405043918422213,-0.010046929569982812,10.0
304.5,4.606850840399374,-0.4103823805755574,-0.009555048184348781,10.0
305.0,4.387758562650563,-0.41546518919409303,-0.009066002377102632,10.0
305.5,4.1657065132161994,-0.4202923414444883,-0.008579878608178475,10.0
306.0,3.9408353283399054,-0.4248639212071474,-0.008096729298933786,10.0
306.5,3.7132873027109907,-0.4291800867177171,-0.007616575091395024,10.0
307.0,3.483206300359174,-0.4332410588985475,-0.007139407078738008,10.0
307.5,3.250737664578864,-0.437047110389901,-0.006665188995290931,10.0
308.0,3.016028126939256,-0.4405985552858133,-0.006193859356940089,10.0
308.5,2.779225715437356,-0.4438957395763052,-0.005725333545322775,10.0
309.0,2.5404796618510126,-0.44693903229430704,-0.005259505830671861,10.0
309.5,2.2999403083501395,-0.4497288173630127,-0.004796251330709737,10.0
310.0,2.057759013424401,-0.4522654861378992,-0.0043354279042826195,10.0
310.5,1.8140880571860931,-0.4545494306356315,-0.003876877979965245,10.0
311.0,1.5690805461076693,-0.4565810374415921,-0.0034204303214502504,10.0
311.5,1.3228903172531004,-0.45836068228693155,-0.0029659017320246926,10.0
312.0,1.0756718420632034,-0.4598887252856033,-0.0025130987020780923,10.0
312.5,0.8275801297549812,-0.4611655068224155,-0.002061819004050245,10.0
313.0,0.5787706303952636,-0.4621913440828897,-0.0016118532399414078,10.0
313.5,0.32939913770950335,-0.462966528216811,-0.0011629863473838768,10.0
314.0,0.07962169168610611,-0.4634913221278861,-0.0007149990700730068,10.0
314.5,-0.17040551896255507,-0.4637659588826389,-0.00026766939935733177,10.0
315.0,-0.42052625442157776,-0.4637906407332117,0.00017922600630711693,10.0
315.5,-0.6705843214164937,-0.4635655387492804,0.0006259104171813096,10.0
316.0,-0.9204236708164715,-0.4630907930559635,0.0010726056361051106,10.0
316.5,-1.1698884951371118,-0.46236651367557224,0.0015195306038170164,10.0
317.0,-1.4188233258816383,-0.4613927819720104,0.0019668999986340776,10.0
317.5,-1.667073130659741,-0.4601696526982363,0.0024149228239022107,10.0
318.0,-1.9144834100234664,-0.45869715664768146,0.0028638009769055375,10.0
318.5,-2.1609002939593784,-0.45697530391193597,0.0033137277929895,10.0
319.0,-2.406170637977045,-0.4550040877475707,0.003764886559727647,10.0
319.5,-2.650142118733533,-0.45278348905537624,0.004217448995905064,10.0
320.0,-2.892663329134268,-0.4503134814761606,0.0046715736911653455,10.0
320.5,-3.133583872850904,-0.4475940371067388,0.0051274045026277,10.0
321.0,-3.3727544581967983,-0.44462513284044225,0.005585068905785245,10.0
321.5,-3.610026991302095,-0.4414067573352419,0.006044676298774067,10.0
322.0,-3.8452546685294755,-0.4379389186117692,0.006506316258553193,10.0
322.5,-4.078292068073157,-0.4342216522834474,0.006970056750477162,10.0
323.0,-4.3089952406842436,-0.43025503041747837,0.007435942293895793,10.0
323.5,-4.537221799464892,-0.4260391710248334,0.007903992086893082,10.0
324.0,-4.762831008676227,-0.42157424817419725,0.008374198096915772,10.0
324.5,-4.985683871503643,-0.4168605027211285,0.008846523124111574,10.0
325.0,-5.205643216725046,-0.411898253641473,0.009320898847498486,10.0
325.5,-5.4225737842281605,-0.40668790995185666,0.009797223866410416,10.0
326.0,-5.636342309322727,-0.4012299831966093,0.010275361750723633,10.0
326.5,-5.846817605795816,-0.3955251004744345,0.010755139117727497,10.0
327.0,-6.053870647657644,-0.389574017971383,0.01123634375436366,10.0
327.5,-6.2573746495271045,-0.383377634961297,0.01171872280723797,10.0
328.0,-6.45720514560711,-0.3769370082257434,0.012201981065650345,10.0
328.5,-6.65324006719968,-0.37025336683873805,0.012685779364254985,10.0
329.0,-6.845359818713213,-0.36332812725265184,0.01316973313622424,10.0
329.5,-7.0334473521137735,-0.35616290861213873,0.013653411148607903,10.0
330.0,-7.217388239774172,-0.3487595482148787,0.01413633445467553,10.0
330.5,-7.397070745675595,-0.3411201170266732,0.014617975599968963,10.0
331.0,-7.572385894916675,-0.33324693514988857,0.015097758119066823,10.0
331.5,-7.743227541487352,-0.32514258713402233,0.015575056362532813,10.0
332.0,-7.9094924342645765,-0.31680993700713594,0.016049195692242044,10.0
332.5,-8.071080281188902,-0.3082521428988825,0.016519453083757494,10.0
333.0,-8.227893811582106,-0.29947267111575604,0.016985058173201503,10.0
333.5,-8.379838836566385,-0.2904753095225677,0.017445194782756534,10.0
334.0,-8.526824307548043,-0.2812641800770666,0.017899002957096483,10.0
334.5,-8.668762372728619,-0.27184375035895497,0.018345581537328723,10.0
335.0,-8.805568431608418,-0.26221884393189077,0.01878399129440613,10.0
335.5,-8.937161187448591,-0.25239464937398515,0.019213258637382238,10.0
336.0,-9.063462697658556,-0.24237672781368022,0.019632379903053786,10.0
336.5,-9.184398422077823,-0.23217101881042543,0.020040326226020536,10.0
337.0,-9.299897269121725,-0.22178384442455817,0.020436048977207653,10.0
337.5,-9.409891639762368,-0.21122191132990661,0.020818485748614037,10.0
338.0,-9.514317469317515,-0.20049231083285932,0.02118656685090111,10.0
338.5,-9.61311426702102,-0.18960251667645384,0.021539222277819098,10.0
339.0,-9.706225153350474,-0.17856038052505907,0.02187538908031795,10.0
339.5,-9.793596895088493,-0.16737412504511756,0.022194019080557677,10.0
340.0,-9.875179938095918,-0.15605233452097966,0.022494086845153468,10.0
340.5,-9.950928437776579,-0.14460394296961143,0.022774597826538557,10.0
341.0,-10.02080028721438,-0.1330382197463074,0.023034596571480676,10.0
341.5,-10.084757142965486,-0.12136475266296037,0.023273174888940554,10.0
342.0,-10.142764448489288,-0.10959342867117496,0.02348947986303188,10.0
342.5,-10.194791455203644,-0.0977344121948323,0.023682721593739086,10.0
343.0,-10.240811241151393,-0.08579812122808682,0.023852180547308227,10.0
343.5,-10.280800727266335,-0.0737952013466375,0.023997214399462206,10.0
344.0,-10.314740691228767,-0.06173649781039769,0.024117264259598627,10.0
344.5,-10.342615778901797,-0.049633025964117755,0.024211860171142956,10.0
