Step,X_ref,Y_ref,X_act,Y_act,Lat_Error,Delta_f,Vx,X_est,Y_est
96,43,7.67386,42.12,8.03923,0.0959694,-0.0938429,10.2219,42.0992,8.0889
97,43.5,7.5192,42.6052,7.87622,-0.113701,-0.194042,10.2245,42.5662,7.79127
98,44,7.35927,43.0827,7.68874,0.0887002,-0.0231709,10.2241,43.082,7.72072
99,44.5,7.19415,43.57,7.53347,0.0494292,0.148486,10.2273,43.5777,7.47485
100,45,7.02395,44.0668,7.40444,0.079783,-0.0234264,10.2317,44.1088,7.36149
101,45.5,6.84877,44.5491,7.23284,-0.18406,-0.150118,10.2327,44.6819,6.99788
102,46,6.66869,45.0251,7.04076,-0.255162,-0.144548,10.2388,45.0601,6.77868
103,46.5,6.48384,45.5002,6.84759,-0.239069,0.0274773,10.2432,45.4964,6.60545
104,47,6.29431,45.9857,6.68235,0.00523225,0.196515,10.2501,45.8846,6.55518
105,47.5,6.10022,46.4824,6.54638,0.222042,0.0605965,10.2531,46.611,6.55324
106,48,5.90167,46.9681,6.38193,0.153006,-0.110987,10.2546,47.1419,6.342
107,48.5,5.69879,47.4452,6.19128,0.0436128,-0.1919,10.2525,47.5546,6.1497
108,49,5.49169,47.9162,5.98569,0.075283,-0.180182,10.2457,47.9342,6.06413
109,49.5,5.2805,48.3828,5.77298,0.0618371,-0.0110338,10.2365,48.3427,5.8271
110,50,5.06533,48.8579,5.5834,0.0817058,0.000166494,10.2285,48.9163,5.63081
111,50.5,4.84631,49.3281,5.38221,-0.00709178,-0.0516754,10.2281,49.3587,5.40774
112,50.5,4.84631,49.7921,5.16686,0.06771,-0.0318292,10.2283,49.8634,5.25856
113,51,4.62357,50.2578,4.95565,0.117747,0.123232,10.2267,50.0936,5.11387
114,51.5,4.39724,50.7379,4.77667,0.12397,-0.0120258,10.2231,50.6901,4.89902
115,52,4.16745,51.2034,4.56523,0.121653,-0.11119,10.2234,51.2294,4.64814
116,52.5,3.93435,51.6625,4.33877,-0.0314014,-0.069683,10.2221,51.65,4.30866
117,53,3.69805,52.1246,4.12088,-0.100384,-0.101411,10.2171,52.0522,4.10121
118,53.5,3.45871,52.5789,3.88687,0.094425,0.0687669,10.212,52.5859,3.96783
119,54,3.21646,53.0483,3.68511,0.0370744,0.179198,10.2063,52.9645,3.63588
120,54.5,2.97144,53.5265,3.50254,-0.0438657,0.00837495,10.203,53.3519,3.46385
121,55,2.7238,53.9891,3.28704,0.0279778,-0.163268,10.2036,53.9465,3.28019
122,55.5,2.47369,54.44,3.04469,0.194591,0.00371055,10.2005,54.4673,3.14123
123,56,2.22125,54.9077,2.8412,0.101943,-0.0818538,10.1969,54.919,2.87984
124,56.5,1.96662,55.3605,2.6065,0.120048,-0.160062,10.1928,55.4793,2.65923
125,57,1.70997,55.8032,2.35182,0.159575,-0.0741824,10.1916,55.9426,2.46914
126,57,1.70997,56.2515,2.10951,0.103299,-0.0903571,10.1902,56.3261,2.24248
127,57.5,1.45143,56.6909,1.85127,-0.126486,-0.0714606,10.188,56.6934,1.78873
128,58,1.19117,57.1284,1.59013,-0.0197798,0.058413,10.1887,57.2512,1.57491
129,58.5,0.929335,57.5785,1.35039,-0.0840526,0.195361,10.1907,57.5865,1.25579
130,59,0.666076,58.0432,1.13662,-0.0218137,0.0243614,10.1882,58.0819,1.16529
131,59.5,0.401551,58.4893,0.891098,-0.0632402,-0.0295253,10.1826,58.3946,0.935995
132,60,0.135916,58.9362,0.647711,-0.0662983,0.0890219,10.1745,58.9107,0.591839
133,60.5,-0.130674,59.3982,0.433987,-0.0112392,0.0355922,10.1684,59.4391,0.378164
134,60.5,-0.130674,59.8532,0.207232,-0.0623629,-0.0341266,10.1687,59.7981,0.184639
135,61,-0.398062,60.3035,-0.0291337,-0.138393,-0.0688778,10.1685,60.2257,-0.099391
136,61.5,-0.66609,60.7512,-0.270738,0.195203,0.102624,10.1691,60.7657,-0.105746
137,62,-0.934601,61.2174,-0.476482,0.227931,0.177402,10.1722,61.3134,-0.409819
138,62.5,-1.20344,61.6899,-0.66866,0.140137,0.00648955,10.1731,61.7646,-0.677875
139,63,-1.47244,62.1474,-0.891013,0.0886893,-0.16475,10.1703,62.1795,-0.922962
140,63.5,-1.74145,62.5929,-1.13981,0.0790999,-0.189978,10.1674,62.627,-1.15184
141,64,-2.01031,63.0343,-1.39445,-0.145534,-0.0702209,10.1662,63.0001,-1.5982
142,64.5,-2.27886,63.4819,-1.63556,-0.161286,-0.018051,10.1689,63.2782,-1.83225
143,64.5,-2.27886,63.9277,-1.87988,0.00574194,0.153145,10.1656,63.7109,-1.9331
144,65,-2.54695,64.391,-2.09189,0.176817,0.0704418,10.1581,64.2441,-1.99414
145,65.5,-2.81442,64.8437,-2.32159,0.200394,-0.100177,10.1519,64.8487,-2.24773
146,66.5,-3.34686,65.2824,-2.57867,0.089072,-0.193775,10.1492,65.442,-2.58051
147,66.5,-3.34686,65.7117,-2.85186,0.0203626,-0.191492,10.1419,65.8958,-2.8821
148,67,-3.61151,66.1349,-3.13263,0.0303198,-0.0206471,10.1357,66.2158,-3.04737
149,67.5,-3.87492,66.5706,-3.39164,0.0509128,0.151038,10.1339,66.6108,-3.31321
150,68,-4.13693,67.0208,-3.62753,0.0177258,0.163563,10.1318,67.0471,-3.58771
151,68.5,-4.39739,67.4715,-3.86078,-0.0207775,0.0293717,10.132,67.4335,-3.83037
152,69,-4.65613,67.912,-4.11133,-0.0378317,0.0670495,10.1345,67.9232,-4.12982
153,69.5,-4.91302,68.364,-4.34082,-0.0128157,0.0412003,10.1351,68.4944,-4.38269
154,69.5,-4.91302,68.8148,-4.57237,-0.0564713,0.0584927,10.134,68.7826,-4.63247
155,70,-5.1679,69.27,-4.79477,0.0434916,0.0518085,10.1303,69.2189,-4.7749
156,70.5,-5.42062,69.7265,-5.01478,-0.0851492,0.0046691,10.1341,69.7003,-5.10354
157,71,-5.67103,70.1802,-5.24074,-0.22648,-0.148403,10.1377,69.9992,-5.31941
158,71.5,-5.91899,70.6188,-5.49785,-0.0388204,0.0236503,10.1372,70.5895,-5.51998
159,72,-6.16436,71.0763,-5.7168,0.0128019,0.196203,10.1385,71.0289,-5.74069
160,72.5,-6.40698,71.549,-5.90668,0.0736446,0.0236507,10.1401,71.6488,-5.88112
161,73,-6.64673,72.0031,-6.13274,0.230442,-0.0685997,10.143,72.0814,-5.97882
162,73.5,-6.88345,72.4538,-6.3656,0.21099,0.0454958,10.1387,72.4452,-6.17299
163,73.5,-6.88345,72.9178,-6.56976,-0.00123536,-0.125092,10.1316,72.8592,-6.4649
164,74,-7.11702,73.3606,-6.81759,0.0560578,-0.0358435,10.1253,73.2506,-6.65187
165,74.5,-7.34729,73.8135,-7.04351,0.200563,0.136008,10.1232,73.8771,-6.90152
166,75,-7.57414,74.2817,-7.23893,0.0734265,0.0530843,10.1176,74.2383,-7.17652
167,75.5,-7.79743,74.739,-7.45482,-0.1083,-0.118302,10.1131,74.7252,-7.52226
168,76,-8.01703,75.1826,-7.70023,-0.0439516,-0.0173272,10.1149,75.2664,-7.70818
169,76.5,-8.23282,75.6387,-7.91892,-0.0556047,0.12684,10.1162,75.6931,-7.93452
170,77,-8.44467,76.1071,-8.11295,0.00368522,0.0809655,10.1147,76.1849,-8.07005
171,77.5,-8.65246,76.5694,-8.31786,-0.0224155,0.0908178,10.1124,76.7041,-8.33285
172,78,-8.85607,77.0371,-8.51024,-0.0405133,0.0484188,10.1089,76.9969,-8.46069
173,78.5,-9.05538,77.5036,-8.70463,-0.115597,0.0650252,10.1062,77.4316,-8.73463
174,79,-9.25029,77.9748,-8.88756,-0.00795967,0.087593,10.1065,77.9682,-8.89142
175,79.5,-9.44067,78.45,-9.06032,-0.0154783,0.105374,10.1065,78.4427,-9.09668
176,80,-9.62642,78.929,-9.22276,-0.10855,-0.0475626,10.1079,78.9657,-9.29387
177,80.5,-9.80744,79.3975,-9.41382,-0.159035,0.0111075,10.1109,79.5104,-9.55093
178,81,-9.98362,79.874,-9.58311,-0.12442,0.1661,10.1134,79.8687,-9.76897
179,81.5,-10.1549,80.3631,-9.718,-0.00693491,0.184734,10.1129,80.3298,-9.85161
180,82,-10.3211,80.8537,-9.84565,0.13819,0.0148646,10.1146,80.9943,-9.86438
